label,text
1,@christinalow let's go get some beers and fish tacos in Laguna this weekend to celebrate
1,What makes this drink even better .. Is the bartender won't let me pay for it ..
0,"""@SixSecCovers: Drunk girls in 6 seconds https://t.co/rGQaJ4nQXJ"" sooo done 😂"
1,When the doctor tells you not to drink on antibiotics you should probably listen #blackoutbk
1,idk how someone can get tipsy after one glass of spiked sangria? #lightweight
1,"Just financed a round of vodka cocktails for some Kappas, aka: a mixer with mixers."
1,We've been at the bar for two minutes and Glenn already spilled his drink. #classicglenn
1,Drunk pizza making at 4 in the morning: level Cole and I. 🍕🍕🍕🍕
0,Happy Birthday to my twinny _danielle_marie love you 💋 @ Stadium Sports Bar &amp; Grill http://t.co/9YLh69qp7T
1,Free drinks ....great  Karaoke night !!! Killed it with @kendellexbrabson tonight !!! #freeTats 💪💪🎤🎤🎶🎶🍻🍺 #MyDabs @strokeous2011
1,My dad is the most annoying person when he's drunk
0,"I'm at Carthay Circle Restaurant and Lounge - @disneyland in Anaheim, CA https://t.co/ztkoxJVlIS"
1,Can't wait to see how drunk Cody gets tomorrow night #feelin21
0,She can bring a beer when I ask her that's close enough to perfect for me.
1,Not really into abbey ales but this is one of... (Reason Be Damned Belgian Style Abbey Ale) http://t.co/s96UwSKobK #photo
1,"At founders. Curmudgeonly, like me :) - Drinking a Curmudgeon Old Ale @ Founders Brewing Co. - http://t.co/72VvnUc2x3 #photo"
1,I guess I'm gonna get drunk and watch scary movies all night.
0,Happy birthday to my good pal @A_Shy_14! I hope your drinking plenty of water right now #bripherewecome
1,"@YXQuise lol, nawe it just don't feel right .. Liquor makes me feel good tho !"
0,"Gimme a house, some cool people, food &amp; drinks and like a pool or large ass t.v or something and I'm lovin myself"
0,These boys in my gym class are telling stories about being drunk and shit and I'm just like shut up no one cares.
0,messages of hope for @taylorcne girls #ethosresurrectionweek #endslavery @ Mercy Lounge http://t.co/MlEOCMbzck
0,You drink 1L of water and you have to run to the bathroom 8000 times 🚽
0,Update: Pockets of volume on #I95 SB from Exit 2 - CR 579/Bear Tavern Rd to Delaware River/Scudder Falls Bridge http://t.co/9MteI3eUNR
0,I found the most amazing wine glass today.... 😂🍷 #WineGlass #Vase #Drink #Dork http://t.co/DfTOVrArj3
0,"Peach beer, peach moonshine, peach wine http://t.co/DuizjH3yrp"
1,@pierrevjacob this tequila stronger than gin tho you will probably die
0,@trishamazing I know! Haha that's why I said that...remember she drinks all that cranberry juice? 😏
1,Picked up a couple of bottles. #chandon #bubbly @ Domaine Chandon Champagne Cellars http://t.co/ozI4FfQqTy
1,Overwhelmingly smoky. Hops lost in the smokiness. - Drinking a Late Thaw Black IPA at @evergreencanada - http://t.co/kNfHiC7zmL
0,I was most definitely the guy that grabbed his margarita before the dinosaurs attacked Jurassic world… https://t.co/UoRiWsrfvq
0,My mom told my dad she doesn't want me drinking in Mexico. lol
0,This is how a #LobsterRoll should look #Lobster #NewEngland @ Joe's American Bar &amp; Grill Framingham https://t.co/9RGrbha01E
0,"It looks like I'm a drunk driver, but in reality I'm just mixing my whip cream into my Starbucks. #FrappyHour"
1,Drinking a Cross Czech by Old Mission Beer Company @ Jolly Pumpkin — http://t.co/Z9ENFb0Oxf
0,drinking tea and watching movies makes me happy☕️😋
0,"#BUCN #Pirates Brewers shut out Pirates, 1-0 - Pittsburgh Post-Gazette http://t.co/XD4ghC7dPo #SportsRoadhouse"
1,"Off to Phoenix! With a good beer and good book! For a relaxing few days, Away from the... https://t.co/DGxrTe6VHG http://t.co/CZlqpwCst4"
0,Very cool brewhouse at @IdyllHoundsBrew and great tour. Can't wait to try some of the brews they're coming up with. http://t.co/HGLkpr7fN3
0,"Underage Wentworth Students Buying Alcohol at Fuentes, the new hit single by Panic at the Disco @PatMardula"
0,Ask me how many times I drink the pumpkin spice latte from Starbucks a day. Ask me how white I am 
1,Some bubbly in the upcountry near Oprah's property. #dranks #helicopterride @ Oprah Winfrey Property https://t.co/s6khYWhP0Z
1,@minaaaabooo well if it tastes like vodka but wont get me drunk like vodka im gonna have to pass
0,"@JewBoyProblems ""Tell me more of those Jewish Man Jokes."" - Grandma (one drink in), referring to your Twitter account."
0,Irish I was still sleeping 🍀 #4AM #StPaddys @ Brennan's Pub https://t.co/a8qBsDFxf5
0,Brewers man..... What's going on right now. Cincinnati has 13 runs and it's only the 6th inning.
1,BYE YOU BASTARDS. IM GOING DRINK A CORONA AND JUST LAY DOWN.
1,Really hope that drunk driver in Austin at SXSW gets what he deserves #fuckingdickhole
0,Probably same story her mans a drunk Mexican who doesn't care about her haha
0,I love this woman. #wonderwoman #famousfriends #weekendcrew #kolo @ Chapel Tavern http://t.co/gytI2dhIuZ
1,Weaves last night runianrun were excellent. @ Mugshots - Ottawa's Only Jail Bar http://t.co/zxjOYt9EEo
1,"You were my cup of tea, but I drink champaign now. 😘"
0,Being sober pops when everybody fucked up !
1,Drinking  The Abyss (2010) by @deschutesbeer @ Zachy Poo's Butt Hut — http://t.co/UznvIahM0e #photo
1,"Well this was nice to come home to, tulips, dirty martini &amp; old fabulous London friend #happyvalentine… http://t.co/ICVedNHpSY"
0,I turned down going out for Thursday drinks for lasagna and a blunt
0,s/o to roberto cofresi aka creator of the piña colada
0,I haven't drank coffee in awhile. So it took 5 Splendas and a cup of half and half before it tasted good 🙊
0,This 14 hour flight to Tokyo has free beer and sake. #LEGGO
0,Guy at the bar last night told me I had nice elbows... That was a first.
0,"I'm at The Carousel Bar &amp; Lounge in New Orleans, LA https://t.co/qBeiTL8SoY"
1,"I get too trife when I'm drinking lol
I'll go off on everybody for nothing G shit. But I'm not puttin this bottle down."
0,"When you think of napa you think of wine, thousands &amp; thousands of dollars of wine damaged,worries of a palangi, SMDH 😳"
1,Boutta go to Purp crib to drink his beer and use his wi-fi
0,Dizz got it popping at therewindpdx. S/o @way2hott! @ The Rose   bar | lounge http://t.co/3StZhXD9d8
0,Just saw a bar I shall not name advertise $5 BUD LITE for the Opener pregame tomorrow as a special. HAHAHAHAHA
1,At least he got my uncle and stepdad beer xD
1,Drinking a Turbodog by @TheAbitaBeer @ Poor House Bistro — http://t.co/eKJ3oHpfUP
1,"Snack and a drink (@ Menotomy Grill &amp; Tavern in Arlington, MA w/ @brewengland) https://t.co/v4JG0mz1FB"
0,$200+ billion spent treating tobacco related illnesses and studies are calling alcohol the most harmful drug ahead of heroin and crack...
0,“@aleixyz: I asked my mom how she'd like it if I made her drink my throw up and she straight decked me”lmao
1,"@A_freezyy better get them squats goin! 
We got like 11 or 12 days left. 
U also better be ready to drink some gin."
0,"@HuskerExtraBR where you at dude? Cable was out at my hotel last night, sucked. Work night so no bar for me"
1,I'm gonna get so fucking drunk tonight like I'm dead asssss
0,"One time, @jennnaayyyyy tried shipping wine here to Texas and they removed the bottle because it broke and I'm still laughing about it."
1,"You know it's a good night, when you hand Big Bill Cartwright a cocktail #RealBullsFan #BullsLegend… http://t.co/W9QAovUKtY"
0,They did an ice bucket challenge with dirty beer water last night. 😭
1,the sweet lady at the chinese place just gave me a free drink ! #ThanksBro
0,I hate how this generation glorifies drugs and alcohol as something that makes you cool if you do them.
0,"@SportsCenter when I click on a video, and it's a 3 minute beer commercial in 24i resolution, I just close it."
0,"Srsly coke, c'mon today I gave him my energy drink and now I gotta give him a coke too. Great... #goodthinghehatesme http://t.co/zXlFcRFxmh"
1,I'm in desperate need of a bottle of white wine the size of my face kk thnx
1,It's time to get drunk but I'm waiting for a miracle to happen that will bring me to the shower
0,This is why @blogher and I are friends. Yes I will drink coffee for your client! Natch. http://t.co/X3VHunJrz9
1,As long as I dont deopmy phone my drink tonight will be great
0,😂😂😂 “RT @charlieforniaa: she sooo into his phone she tryna eat her drink like some damn popcorn 😂😂 #bitchesbelike http://t.co/wSG87cMEUX”
1,"Doin what's mums do best, sitting around watching king of queens &amp; drinkin wine at the beach house while the kids are at home w/ their dads"
1,Everyone's hungover and I'm just like I'm sicker than hell and exhausted. #allergiesblow
1,“@narah_seyer: Why yes I did just buy 2 bottles of wine at 11 am.” No shame 🍷🍷
0,@keselowski is in route to come make a special appearance behind our bar at 7pm and he's buying until 7:30!! Come up and have a few! #nascar
1,Drinking a Dos Equis Amber by Cervecera Cuauhtmoc Moctezuma @ Cocina De Mino — http://t.co/j7pabU4e9e #photo
0,"My mom really tried my shit asking if i want 4 piece nugget from chick-fa-la😤 wit no drink or fries , hell naww🙅 tried"
0,Love my wittle seeeester!!! ♡♡ @ Winner's Bar &amp; Grill http://t.co/cJsWkO3Y4a
0,Still have a bottle of alcohol on the dresser from homecoming 😓
0,"Polar Pumpkin Ale 7%ABV has a spicy aroma and creamy finish. 
On tap and in the bottle shop this… https://t.co/vQ1GXKTiN7"
0,"Food! Manager is taking me out for lunch. (at @Chilis Grill &amp; Bar in Ankeny, IA) https://t.co/HOfxUSIbUH"
0,Why can't the #Dennys in sac have a bar in it like this one? (at @DennysDiner) http://t.co/kn0hrslx2R
0,Film prom. Or bar mitzvah? (@ Seattle Center Exhibition Hall w/ 5 others) https://t.co/Fj3aoBqVVl
0,tcualumni in the HOUSE! 💜🐸 #GoFrogs #AcousticNights @ Big Al's Mckinney Avenue Tavern https://t.co/5dpTtF5N4Q
1,Going to a food truck and beer garden festival... See you ten lbs later
1,"Dinner sushi, eel chirashi, a bottle of Chardonnay &amp; dessert more wine fresh strawberries, black berries, raspberries &amp; cool whip #single #👍"
0,Forced to drink soda bc I ran out of bottled water 😖😭😭
1,"Is it beer for a splitting headache, or whiskey for a splitting headache?"
0,"QOTD: ""I will not drink milk because it comes from cows. And it's for cows. I'm not a cow."" via on level physics class."
1,I need to stop bringing money out with me when i drink i bought like 6 people pizza last night wtf is wrong with me
0,Salúd @ Blue Moon Lounge Bar At Riu Guadalajara Hotel https://t.co/nF44n8oKt3
0,"Family dinner – with Victoria (@ Travinia Italian Kitchen &amp; Wine Bar in Morrisville, NC) https://t.co/WBIhTAxxgy"
0,Super cute hotel bar. #montreal #quebec @ Bistro Martini Grill http://t.co/buYZpMEgYT
0,And I don't drink often I know the budwiser
1,If you have to drink every single day to enjoy your life I feel bad for you.
0,The only thing worse than watching us lose this bad....watching us lose in a Florida bar
1,@bp_NICHOLE Haha Mandi and Mitchell would call @VWilson2010 Hey what's chris number so we can get some beer lol
1,I've earned this. Pictured in background: @budlighttxn. - Drinking a Nugget Nectar at @moxieusa - http://t.co/KH7t8VPYf9 #photo
1,When drunk people buy you drinks&gt;&gt;&gt;
0,So far I've gotten 1L down of water and I have 2 more to go ugh so cold I don't even feel like drinking
0,Too nice to drink. @ Nervous Dog Coffee Bar http://t.co/M3zV8RecVc
0,just LOVE when I leave my debit card at the bars and can't get it for days :-)
0,father's day with my favorite dad in daginga ! #virginiabeach #vb @ Baja Beach Bar http://t.co/CKE58BS3ZH
0,I know better than to drink dark liquor and switch to clear...
0,gettin drunk off the thought of you naked
0,"If Molly could grab beers for me, she'd be dog of the year for my lazy ass"
0,Playing cool-out music for Sober Up Sundays at @JuiceLandAustin on 4500 Duval St. I play at 4! Come chill &amp; recover! http://t.co/OlzzK633cE
0,"I'm at SET Nightclub - @setmiami for Evolution Sundays in Miami Beach, FL https://t.co/3huBZU00z3"
0,I'm finna be in the #JusticeCrew #AlbumCoverPose @ Z100 Dunkin' Donuts Iced Coffee Lounge http://t.co/OzIFRO1P5r
1,Someone drink (I supply beer) and watch the best of SNL with me
0,tried going to the bars last night and wouldnt talk about anything other then ebola
1,@TheGroceryOHC don't forget to bring your own beer or bubbly! We will have ice on hand to keep it cool!
0,"Tickets to an Asheville Tourists game: $6
Cup of beer at game: $2
Being a part of the group that… http://t.co/uD0uJdmyCu"
1,"Having the Brewery Tour at BCPV (@ Black Creek Pioneer Village in Toronto, Ontario) https://t.co/U8C2SlKdab http://t.co/4U61Faxpw3"
1,I want a beer tower and the only place I can think to go to is Franco's 😪😭 #takemeback. #lasers. #pewpew.
0,The original is still the best! #cerealmilk #icecream @ Momofuku Milk Bar - Midtown http://t.co/5jh3QKcS5p
